,name,rating,reviews,avg_salary,industry,locations,highly_rated_for,critically_rated_for
0,TCS,3.3,1.1L,9.9L,IT Services & Consulting,Bengaluru +439 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1,Accenture,3.7,72.4k,6.5L,IT Services & Consulting,Bengaluru +257 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
2,Wipro,3.6,64.3k,4.8L,IT Services & Consulting,Hyderabad +371 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Cognizant,3.7,60.6k,6L,IT Services & Consulting,Hyderabad +232 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Capgemini,3.7,52.3k,4.8L,IT Services & Consulting,Bengaluru +182 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,HDFC Bank,3.8,51.4k,1.5L,Banking,Mumbai +1837 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
6,Infosys,3.5,48k,5.2L,IT Services & Consulting,Bengaluru +248 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7,ICICI Bank,3.9,45.4k,1.5L,Banking,Mumbai +1441 other locations,"Job Security, Promotions / Appraisal, Skill Development / Learning",
8,HCLTech,3.4,45.2k,3.8L,IT Services & Consulting,Chennai +231 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,3.4,42.8k,2.8L,IT Services & Consulting,Hyderabad +331 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Genpact,3.6,41.5k,2.3L,Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
11,Teleperformance,3.8,37.6k,97.2k,BPO,Mumbai +256 other locations,Job Security,
12,Jio,4.4,33.4k,62.5k,Telecom,Mumbai +1969 other locations,"Job Security, Skill Development / Learning, Company Culture",
